ability,item,moves
QuarkDrive,HeavyDutyBoots,FieryDance SludgeWave EnergyBall Substitute 
RoughSkin,RockyHelmet,Earthquake StoneEdge Spikes TeraBlast 
Pressure,Leftovers,Defog Roost Uturn BraveBird 
SwordofRuin,HeavyDutyBoots,IcicleCrash Crunch SuckerPunch SwordsDance 
Multiscale,SilkScarf,DragonDance ExtremeSpeed Earthquake Roost 
QuarkDrive,ChoiceSpecs,Moonblast AuraSphere Thunderbolt ShadowBall 
RoughSkin,RockyHelmet,StealthRock Spikes Earthquake DragonTail 
QuarkDrive,BoosterEnergy,Earthquake HeavySlam KnockOff RapidSpin 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall Thunderbolt Trick 
VoltAbsorb,LeppaBerry,DoubleShock CloseCombat MachPunch RevivalBlessing 
WeakArmor,WeaknessPolicy,ArmorCannon ExpandingForce ShadowBall Endure 
PsychicSurge,TerrainExtender,Psyshock DrainingKiss HealingWish Encore 
VesselofRuin,AssaultVest,Earthquake Ruination ThroatChop BodyPress 
Moxie,LifeOrb,AquaStep BraveBird CloseCombat Uturn 
QuarkDrive,BoosterEnergy,Moonblast AuraSphere DestinyBond Thunderbolt 
WaterAbsorb,BlackSludge,Toxic Recover Earthquake StealthRock 
PsychicSurge,TerrainExtender,HealingWish Psyshock CalmMind ShadowBall 
MagicBounce,Leftovers,CalmMind Psyshock DrainingKiss MysticalFire 
WeakArmor,FocusSash,ShellSmash StoredPower ShadowBall TeraBlast 
WeakArmor,WeaknessPolicy,ExpandingForce ArmorCannon Endure TeraBlast 
VesselofRuin,Leftovers,Spikes StealthRock Whirlwind Earthquake 
Unburden,PsychicSeed,SwordsDance Acrobatics CloseCombat GrassKnot 
WeakArmor,WeaknessPolicy,ArmorCannon ExpandingForce ShadowBall Endure 
PsychicSurge,TerrainExtender,Psyshock DrainingKiss HealingWish Encore 
VesselofRuin,AssaultVest,Earthquake Ruination ThroatChop BodyPress 
Moxie,LifeOrb,AquaStep BraveBird CloseCombat Uturn 
QuarkDrive,BoosterEnergy,Moonblast AuraSphere DestinyBond Thunderbolt 
Unaware,Leftovers,Toxic Recover Earthquake StealthRock 
SwordofRuin,HeavyDutyBoots,SwordsDance Crunch IceSpinner SuckerPunch 
FlameBody,HeavyDutyBoots,QuiverDance MorningSun Flamethrower Psychic 
Protosynthesis,BoosterEnergy,DragonDance DragonClaw Crunch Acrobatics 
GoodasGold,Leftovers,NastyPlot MakeItRain ShadowBall Recover 
RoughSkin,Leftovers,StealthRock EarthPower Surf Spikes 
Protosynthesis,AssaultVest,Earthquake BodyPress KnockOff RapidSpin 
SwordofRuin,ChoiceBand,IceSpinner Crunch IceShard SacredSword 
Pressure,RockyHelmet,BodyPress Defog Roost Uturn 
PurifyingSalt,Leftovers,SaltCure Protect StealthRock Recover 
Protosynthesis,Leftovers,BulkUp RapidSpin Earthquake KnockOff 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall NastyPlot Trick 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Roost Earthquake 
Drizzle,DampRock,Hurricane KnockOff Roost Uturn 
SwiftSwim,ChoiceBand,WaveCrash Liquidation IceSpinner AquaJet 
Moxie,HeavyDutyBoots,AquaStep CloseCombat SwordsDance RapidSpin 
SwiftSwim,LifeOrb,Surf Psychic GrassKnot NastyPlot 
RoughSkin,RockyHelmet,StealthRock Spikes DragonTail Earthquake 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Recover 
SwordofRuin,ChoiceBand,IcicleCrash Crunch SacredSword IceShard 
Libero,HeavyDutyBoots,PyroBall Uturn CourtChange HighJumpKick 
VesselofRuin,Leftovers,Earthquake HeavySlam BodyPress Whirlwind 
QuarkDrive,ChoiceSpecs,Moonblast FocusBlast ShadowBall Psyshock 
Protean,ChoiceScarf,Trick Uturn KnockOff FlowerTrick 
GoodasGold,AirBalloon,MakeItRain Recover ShadowBall ThunderWave 
SwordofRuin,ChoiceBand,IceSpinner Crunch SacredSword ThroatChop 
Unaware,HeavyDutyBoots,TorchSong WillOWisp Hex SlackOff 
Technician,ChoiceBand,BulletPunch CloseCombat Thief Uturn 
PurifyingSalt,RockyHelmet,Recover IronDefense BodyPress SaltCure 
Protosynthesis,HeavyDutyBoots,HeadlongRush CloseCombat RapidSpin IceSpinner 
Technician,LoadedDice,BulletSeed MachPunch Spore GunkShot 
Prankster,LightClay,SpiritBreak PartingShot Reflect LightScreen 
Protosynthesis,FocusSash,CloseCombat KnockOff RapidSpin StealthRock 
ThermalExchange,LoadedDice,IcicleSpear DragonTail Earthquake DragonDance 
QuarkDrive,BoosterEnergy,FieryDance SludgeWave EnergyBall Agility 
GoodasGold,LifeOrb,ShadowBall MakeItRain FocusBlast NastyPlot 
Multiscale,ChoiceBand,Outrage ExtremeSpeed DragonClaw FirePunch 
MyceliumMight,FocusSash,EarthPower EnergyBall RapidSpin Spikes 
QuarkDrive,AssaultVest,EnergyBall FieryDance SludgeWave Psychic 
QuarkDrive,Leftovers,HeavySlam DrainPunch ThunderPunch Earthquake 
Multiscale,HeavyDutyBoots,Earthquake DragonDance ExtremeSpeed IceSpinner 
PurifyingSalt,Leftovers,SaltCure StealthRock Recover Protect 
WaterAbsorb,CovertCloak,Copycat Wish Protect ChillingWater 
Levitate,Leftovers,HydroPump WillOWisp Protect VoltSwitch 
Unaware,Leftovers,Earthquake Toxic Recover StealthRock 
Pressure,CovertCloak,IronHead Roost Defog Uturn 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall NastyPlot Trick 
Overgrow,ChoiceBand,SuckerPunch KnockOff FlowerTrick Spikes 
Moxie,ChoiceBand,AquaJet AquaStep CloseCombat Uturn 
Protosynthesis,ChoiceBand,DragonClaw Crunch Earthquake Uturn 
HugePower,AssaultVest,Liquidation PlayRough IceSpinner AquaJet 
GoodasGold,CovertCloak,MakeItRain ShadowBall Thunderbolt Recover 
Protosynthesis,HeavyDutyBoots,HeadlongRush CloseCombat IceSpinner RapidSpin 
Pressure,RockyHelmet,BodyPress Uturn Roost Defog 
StormDrain,Leftovers,ChillingWater IceBeam StealthRock Recover 
Drizzle,DampRock,Surf Hurricane Roost Uturn 
DrySkin,LifeOrb,SwordsDance PoisonJab DrainPunch SuckerPunch 
SwiftSwim,ChoiceBand,WaveCrash Liquidation IceSpinner AquaJet 
VesselofRuin,Leftovers,StealthRock Ruination Whirlwind Earthquake 
Regenerator,HeavyDutyBoots,GigaDrain ClearSmog SludgeBomb Spore 
QuarkDrive,AssaultVest,Earthquake VoltSwitch KnockOff RapidSpin 
QuarkDrive,Leftovers,SwordsDance DrainPunch ThunderPunch IcePunch 
NaturalCure,Leftovers,ThunderPunch Wish LowKick Encore 
Unaware,HeavyDutyBoots,TorchSong WillOWisp Hex SlackOff 
Prankster,ChestoBerry,BulkUp SpiritBreak Rest SuckerPunch 
Regenerator,BlackSludge,Surf Toxic Recover Haze 
FlashFire,HeavyDutyBoots,BulkUp BitterBlade ShadowSneak Taunt 
FlameBody,HeavyDutyBoots,QuiverDance MorningSun FieryDance WillOWisp 
GoodasGold,CovertCloak,NastyPlot ShadowBall MakeItRain Recover 
Unaware,HeavyDutyBoots,StealthRock Earthquake Toxic Recover 
Levitate,ChoiceSpecs,DracoMeteor DarkPulse EarthPower Uturn 
Levitate,Leftovers,VoltSwitch HydroPump Protect WillOWisp 
Protean,HeavyDutyBoots,KnockOff Spikes Uturn FlowerTrick 
WaterAbsorb,HeavyDutyBoots,StealthRock Earthquake Toxic Recover 
Levitate,ChoiceSpecs,DracoMeteor DarkPulse EarthPower Uturn 
QuarkDrive,HeavyDutyBoots,Moonblast KnockOff Thunderbolt Taunt 
Unaware,HeavyDutyBoots,TorchSong WillOWisp Hex SlackOff 
Technician,HeavyDutyBoots,BulletPunch Uturn CloseCombat SwordsDance 
Protosynthesis,HeavyDutyBoots,Uturn CloseCombat StunSpore MorningSun 
SandStream,Leftovers,Crunch Earthquake IceBeam Pursuit 
KeenEye,Leftovers,Spikes Roar Toxic Protect 
Pressure,Leftovers,WillOWisp FireBlast HiddenPowerGrass Protect 
SereneGrace,Leftovers,BodySlam FirePunch Wish Protect 
Levitate,Leftovers,WillOWisp Thunderbolt IcePunch Taunt 
Levitate,Leftovers,Earthquake Toxic Protect RockSlide 
ElectricSurge,HeavyDutyBoots,Thunderbolt DazzlingGleam Roost CalmMind 
Multiscale,HeavyDutyBoots,Earthquake DualWingbeat Roost DragonDance 
VictoryStar,HeavyDutyBoots,Vcreate BoltStrike Uturn Encore 
IronBarbs,RockyHelmet,LeechSeed KnockOff Spikes GyroBall 
Intimidate,Leftovers,Earthquake Toxic StealthRock Uturn 
MagicGuard,StickyBarb,Moonblast Trick ThunderWave SoftBoiled 
SereneGrace,Leftovers,IronHead BodySlam Wish Protect 
Levitate,ChoiceScarf,Uturn Earthquake Outrage Toxic 
MarvelScale,Leftovers,Surf IceBeam Recover Haze 
HyperCutter,Leftovers,Taunt Earthquake WingAttack Roost 
MagicGuard,Leftovers,StealthRock SeismicToss KnockOff SoftBoiled 
MagnetPull,Leftovers,Thunderbolt HiddenPowerFire MagnetRise Protect 
SandStream,ChopleBerry,Crunch Pursuit Superpower FireBlast 
Sturdy,Leftovers,BraveBird Spikes Whirlwind Roost 
StormDrain,Leftovers,Scald IceBeam Toxic Recover 
MagicGuard,Leftovers,CalmMind Psyshock FocusBlast Recover 
MagicGuard,FocusSash,Psychic FocusBlast SignalBeam HiddenPowerIce 
PoisonHeal,ToxicOrb,StealthRock KnockOff Earthquake Protect 
SandStream,ChopleBerry,Crunch Earthquake ThunderWave Pursuit 
PoisonHeal,ToxicOrb,StealthRock Earthquake Protect Uturn 
IronBarbs,Leftovers,Spikes KnockOff Bulldoze PowerWhip 
MagicGuard,LifeOrb,Psychic FocusBlast Recover HiddenPowerIce 
Levitate,ColburBerry,DracoMeteor Surf HiddenPowerFire Roost 
MagicGuard,FocusSash,Psychic FocusBlast HiddenPowerIce Encore 
ClearBody,FocusSash,MeteorMash Earthquake BulletPunch Explosion 
Technician,Leftovers,BulletPunch SwordsDance BrickBreak Roost 
SandStream,CustapBerry,Crunch Pursuit Earthquake StealthRock 
Blaze,ExpertBelt,FireBlast HiddenPowerIce CloseCombat GrassKnot 
Levitate,ChoiceScarf,Thunderbolt ShadowBall HiddenPowerIce Trick 
Levitate,ChoiceSpecs,Trick DracoMeteor GrassKnot Surf 
ElectricSurge,HeavyDutyBoots,Thunderbolt DazzlingGleam Uturn Taunt 
VictoryStar,HeavyDutyBoots,Vcreate Uturn BoltStrike WillOWisp 
IronBarbs,RockyHelmet,GyroBall BodyPress LeechSeed Spikes 
Intimidate,Leftovers,Toxic Earthquake Uturn StealthRock 
Regenerator,HeavyDutyBoots,Scald Teleport SlackOff FutureSight 
Defiant,BlackGlasses,IronHead SwordsDance KnockOff SuckerPunch 
LightMetal,Scizorite,BulletPunch Uturn Roost SwordsDance 
Regenerator,Leftovers,Scald IceBeam SlackOff ThunderWave 
FlashFire,Leftovers,FireBlast HiddenPowerGrass Toxic StealthRock 
PoisonHeal,ToxicOrb,Earthquake Facade Roost SwordsDance 
IronBarbs,Leftovers,PowerWhip KnockOff LeechSeed Spikes 
Regenerator,AssaultVest,Hurricane KnockOff Uturn SmackDown 
Levitate,Leftovers,StealthRock GyroBall Protect Toxic 
KeenEye,Leftovers,Spikes Counter Roost Whirlwind 
MagicGuard,Leftovers,SeismicToss KnockOff ThunderWave SoftBoiled 
Levitate,Leftovers,CalmMind DragonPulse HiddenPowerFire Recover 
Levitate,LifeOrb,Earthquake DracoMeteor FireBlast Roost 
Levitate,Leftovers,Discharge ShadowBall Rest SleepTalk 
MagicGuard,LifeOrb,CalmMind Moonblast IceBeam SoftBoiled 
FlashFire,Leftovers,MagmaStorm StealthRock Taunt EarthPower 
Regenerator,Leftovers,Scald ThunderWave SlackOff IceBeam 
Contrary,Leftovers,LeafStorm HiddenPowerFire Substitute Glare 
Limber,Lopunnite,FakeOut Frustration HighJumpKick HealingWish 
Intimidate,ChoiceScarf,Earthquake StoneEdge KnockOff Uturn 
MagicGuard,GrassiumZ,CalmMind Psyshock EnergyBall Recover 
MagicGuard,Leftovers,StealthRock Moonblast SoftBoiled ThunderWave 
StormDrain,Leftovers,Scald Earthquake Recover ClearSmog 
MagnetPull,ChoiceScarf,VoltSwitch HiddenPowerFire FlashCannon ThunderWave 
Levitate,Latiosite,Psychic IceBeam Recover Earthquake 
Sturdy,RockyHelmet,Spikes Toxic Roost Whirlwind 
SwordofRuin,HeavyDutyBoots,IcicleCrash Crunch SuckerPunch SwordsDance 
GoodasGold,HeavyDutyBoots,ShadowBall MakeItRain Recover NastyPlot 
VesselofRuin,Leftovers,StealthRock Spikes Whirlwind Earthquake 
FlameBody,HeavyDutyBoots,QuiverDance MorningSun FieryDance GigaDrain 
Regenerator,HeavyDutyBoots,Spore GrassKnot SludgeBomb FoulPlay 
Levitate,Leftovers,VoltSwitch HydroPump Protect ThunderWave 
Drizzle,ChoiceSpecs,Hurricane Surf KnockOff Uturn 
WaterAbsorb,HeavyDutyBoots,Spikes Earthquake Toxic Recover 
PurifyingSalt,Leftovers,StealthRock SaltCure Protect Recover 
Protosynthesis,ChoiceScarf,HeadlongRush CloseCombat KnockOff IceSpinner 
GoodasGold,HeavyDutyBoots,ShadowBall MakeItRain Recover NastyPlot 
Regenerator,HeavyDutyBoots,FutureSight BodyPress IceBeam SlackOff 
MyceliumMight,Leftovers,KnockOff RapidSpin Spore Spikes 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall FocusBlast Trick 
SwordofRuin,HeavyDutyBoots,Crunch IcicleCrash SuckerPunch SwordsDance 
Unaware,CovertCloak,WaveCrash BodyPress Rest SleepTalk 
Unaware,HeavyDutyBoots,TorchSong Hex WillOWisp SlackOff 
Levitate,WideLens,DracoMeteor DarkPulse FireBlast StealthRock 
SwordofRuin,HeavyDutyBoots,SwordsDance Crunch IceSpinner IceShard 
Regenerator,HeavyDutyBoots,ChillyReception SlackOff ThunderWave ChillingWater 
Regenerator,RockyHelmet,Spore ClearSmog SludgeBomb GigaDrain 
GoodasGold,CovertCloak,NastyPlot ShadowBall MakeItRain Recover 
Protean,ChoiceBand,FlowerTrick KnockOff Uturn ThunderPunch 
Protosynthesis,AssaultVest,KnockOff RapidSpin Earthquake BodyPress 
IceBody,HeavyDutyBoots,BodyPress Earthquake Recover Curse 
Regenerator,HeavyDutyBoots,ChillyReception Surf SlackOff FutureSight 
SwordofRuin,HeavyDutyBoots,SwordsDance SuckerPunch Crunch IcicleCrash 
Multiscale,HeavyDutyBoots,DragonDance Roost ExtremeSpeed Earthquake 
SupremeOverlord,Leftovers,StealthRock KowtowCleave SuckerPunch IronHead 
Unaware,Leftovers,TorchSong ShadowBall Substitute SlackOff 
QuarkDrive,BoosterEnergy,FieryDance SludgeWave Agility EnergyBall 
SwordofRuin,LifeOrb,IcicleCrash Crunch SuckerPunch SacredSword 
EarthEater,SitrusBerry,HeavySlam BodyPress StealthRock ShedTail 
Prankster,LightClay,LightScreen Reflect Taunt PartingShot 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake IceSpinner 
Protosynthesis,HeavyDutyBoots,HeadlongRush CloseCombat KnockOff RapidSpin 
GoodasGold,HeavyDutyBoots,NastyPlot Recover ShadowBall MakeItRain 
WaterAbsorb,HeavyDutyBoots,StealthRock Recover Toxic Earthquake 
Intimidate,AssaultVest,PlayRough Trailblaze Crunch WildCharge​ 
Regenerator,HeavyDutyBoots,Wish Protect ChillingWater Whirlpool 
Pressure,RockyHelmet,BodyPress Roost Defog Uturn 
Intimidate,ProtectivePads,RagingBull CloseCombat Earthquake FlameCharge 
EarthEater,SitrusBerry,StealthRock Spikes ShedTail IronHead 
PurifyingSalt,Leftovers,IronDefense SaltCure Recover BodyPress 
Protosynthesis,BoosterEnergy,DragonDance Acrobatics Crunch Roost 
Protosynthesis,FocusSash,Earthquake KnockOff CloseCombat RapidSpin 
FlameBody,HeavyDutyBoots,QuiverDance WillOWisp Flamethrower MorningSun 
Intimidate,AssaultVest,PlayRough Trailblaze Crunch WildCharge​ 
QuarkDrive,BoosterEnergy,Moonblast CloseCombat Thunderbolt Psyshock 
SlushRush,ChoiceBand,IceSpinner Earthquake Superpower Liquidation 
Regenerator,IcyRock,ChillyReception FutureSight Yawn Surf 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall FocusBlast Trick 
ToxicDebris,FocusSash,Memento SludgeWave MortalSpin StealthRock 
SwordofRuin,HeavyDutyBoots,SwordsDance SuckerPunch IceSpinner SacredSword 
Overgrow,FocusSash,FlowerTrick KnockOff Uturn Spikes 
PurifyingSalt,Leftovers,SaltCure StealthRock Recover Protect 
GoodasGold,CovertCloak,ShadowBall MakeItRain NastyPlot Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin BulkUp 
FlameBody,HeavyDutyBoots,FieryDance WillOWisp QuiverDance MorningSun 
Multiscale,HeavyDutyBoots,ExtremeSpeed Earthquake DragonDance Roost 
RoughSkin,LifeOrb,StealthRock DracoMeteor FireBlast Earthquake 
Libero,HeavyDutyBoots,PyroBall GunkShot Uturn SuckerPunch 
QuarkDrive,AssaultVest,Earthquake VoltSwitch KnockOff RapidSpin 
Levitate,Leftovers,VoltSwitch HydroPump Protect WillOWisp 
QuarkDrive,ChoiceScarf,Moonblast TeraBlast ShadowBall Trick 
SupremeOverlord,BlackGlasses,SwordsDance IronHead KowtowCleave SuckerPunch 
Unaware,HeavyDutyBoots,Haze Recover Toxic Earthquake 
Unaware,HeavyDutyBoots,HeavySlam BodyPress Rest SleepTalk 
Regenerator,HeavyDutyBoots,Whirlpool Protect ChillingWater Wish 
FlameBody,HeavyDutyBoots,Defog WillOWisp Flamethrower Roost 
Regenerator,HeavyDutyBoots,Toxic Recover Infestation Haze 
NaturalCure,HeavyDutyBoots,StealthRock SeismicToss ShadowBall SoftBoiled 
SandVeil,ChoiceBand,Earthquake SludgeBomb EarthPower Sandstorm 
Protosynthesis,ChoiceBand,HeadlongRush None None None 
LiquidOoze,None,ClearSmog GunkShot SludgeBomb Earthquake 
Unaware,BlackSludge,Earthquake GunkShot Recover Toxic 
Merciless,BlackSludge,BanefulBunker SludgeBomb Recover Toxic 
Regenerator,BlackSludge,ClearSmog SludgeBomb Toxic StompingTantrum 
MagicGuard,LifeOrb,Moonblast FireBlast Thunderbolt SoftBoiled 
IronBarbs,Leftovers,StealthRock PowerWhip Spikes LeechSeed 
FlashFire,Leftovers,MagmaStorm EarthPower Protect Toxic 
Intimidate,ChoiceScarf,Earthquake HiddenPowerIce Defog Uturn 
Levitate,Latiasite,CalmMind IceBeam Recover StoredPower 
Levitate,ElectriumZ,VoltSwitch HydroPump PainSplit Thunder 
Drought,HeatRock,StealthRock LavaPlume RapidSpin Yawn 
MagicBounce,EjectButton,Psychic DrainingKiss MysticalFire HealingWish 
Protosynthesis,LoadedDice,BulletSeed TeraBlast SuckerPunch/Crunch Spore/Crunch 
WeakArmor,FocusSash,BitterBlade SolarBlade ShadowSneak SwordsDance 
Protosynthesis,Leftovers,Earthquake KnockOff BulkUp RapidSpin 
Protosynthesis,ChoiceBand,Crunch Earthquake Uturn Outrage 
Intimidate,HeavyDutyBoots,DracoMeteor Hurricane Roost Flamethrower 
Protean,ChoiceSpecs,HydroPump DarkPulse IceBeam GrassKnot 
GoodasGold,CovertCloak,MakeItRain ShadowBall Recover NastyPlot 
Protosynthesis,Leftovers,Earthquake BodyPress RapidSpin StealthRock 
WaterAbsorb,Leftovers,Earthquake Toxic Recover StealthRock 
Protean,ChoiceScarf,FlowerTrick KnockOff Spikes Uturn 
RoughSkin,RockyHelmet,DragonTail Earthquake Spikes StealthRock 
QuarkDrive,AssaultVest,Earthquake KnockOff RapidSpin VoltSwitch 
Protean,ChoiceBand,FlowerTrick SuckerPunch KnockOff Uturn 
Libero,HeavyDutyBoots,PyroBall HighJumpKick/WillOWisp GunkShot Uturn 
Protean,WiseGlasses,HydroPump DarkPulse/IceBeam GrassKnot Uturn 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall NastyPlot/FocusBlast Trick 
SeedSower,Leftovers,EarthPower Substitute GigaDrain TeraBlast 
Protean,ChoiceSpecs,HydroPump IceBeam DarkPulse Spikes 
ToxicDebris,FocusSash,StealthRock EarthPower SludgeWave EnergyBall 
Protosynthesis,HeavyDutyBoots,HeadlongRush CloseCombat KnockOff RapidSpin 
PurifyingSalt,Leftovers,Recover IronDefense SaltCure BodyPress 
SupremeOverlord,HeavyDutyBoots,SwordsDance IronHead KowtowCleave SuckerPunch 
Protean,ChoiceScarf,RockSlide Uturn IceBeam ToxicSpikes 
RoughSkin,RockyHelmet,Earthquake StealthRock Spikes DragonTail 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Recover 
SwordofRuin,ChoiceBand,IcicleCrash Crunch IceShard SacredSword 
Protosynthesis,HeavyDutyBoots,HeadlongRush CloseCombat KnockOff RapidSpin 
FlameBody,HeavyDutyBoots,QuiverDance MorningSun FieryDance GigaDrain 
Unaware,Leftovers,WaveCrash Curse Rest SleepTalk 
Drizzle,ChoiceSpecs,Surf Hurricane HydroPump Uturn 
Protosynthesis,Leftovers,StealthRock CloseCombat KnockOff RapidSpin 
Protean,ChoiceBand,FlowerTrick KnockOff Uturn Trick 
Regenerator,RockyHelmet,GrassKnot SludgeBomb Spore ClearSmog 
SupremeOverlord,Leftovers,SwordsDance KowtowCleave IronHead SuckerPunch 
Intimidate,Leftovers,RagingBull BodyPress BulkUp Protect 
Protean,ChoiceSpecs,HydroPump DarkPulse IceBeam Spikes 
SupremeOverlord,Leftovers,SwordsDance KowtowCleave IronHead SuckerPunch 
Protosynthesis,Leftovers,Earthquake KnockOff StealthRock RapidSpin 
SwordofRuin,ChoiceBand,IcicleCrash Crunch SacredSword IceShard 
Regenerator,RockyHelmet,SludgeBomb GigaDrain Spore ClearSmog 
SwordofRuin,BlackGlasses,IceSpinner SuckerPunch Crunch SacredSword 
RoughSkin,LifeOrb,StealthRock Earthquake DracoMeteor FireBlast 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin BulkUp 
SupremeOverlord,LumBerry,SuckerPunch KowtowCleave IronHead SwordsDance 
Overgrow,FocusSash,Spikes KnockOff Taunt LeafStorm 
GoodasGold,AirBalloon,ShadowBall MakeItRain Recover NastyPlot 
Protosynthesis,Leftovers,StealthRock Earthquake KnockOff RapidSpin 
Unaware,BlackSludge,Spikes Earthquake Toxic Recover 
Levitate,Leftovers,VoltSwitch HydroPump WillOWisp Protect 
Infiltrator,ChoiceBand,DragonDarts TeraBlast SuckerPunch Uturn 
QuarkDrive,ChoiceSpecs,Moonblast AuraSphere Thunderbolt Psyshock 
GoodasGold,CovertCloak,ShadowBall MakeItRain Recover NastyPlot 
IronFist,LeppaBerry,DoubleShock CloseCombat MachPunch RevivalBlessing 
Protosynthesis,Leftovers,Earthquake KnockOff StealthRock RapidSpin 
SupremeOverlord,Leftovers,KowtowCleave IronHead SuckerPunch SwordsDance 
Protean,ChoiceSpecs,HydroPump DarkPulse IceBeam GrassKnot 
Unaware,HeavyDutyBoots,Substitute TorchSong ShadowBall SlackOff 
Levitate,Leftovers,VoltSwitch HydroPump Protect WillOWisp 
Drizzle,DampRock,Hurricane KnockOff Roost Uturn 
Protean,ChoiceSpecs,HydroPump DarkPulse GrassKnot IceBeam 
SwiftSwim,ChoiceBand,Liquidation CloseCombat DrillRun PsychicFangs 
Regenerator,RockyHelmet,Spore GigaDrain SludgeBomb FoulPlay 
QuarkDrive,AssaultVest,Earthquake KnockOff IceSpinner RapidSpin 
Unaware,Leftovers,StealthRock ToxicSpikes PoisonJab Recover 
RoughSkin,LifeOrb,Earthquake FireBlast DracoMeteor StealthRock 
Multiscale,HeavyDutyBoots,ExtremeSpeed Earthquake DragonDance Roost 
GoodasGold,CovertCloak,NastyPlot Recover MakeItRain ShadowBall 
HugePower,AssaultVest,PlayRough Liquidation AquaJet IceSpinner 
FlameBody,HeavyDutyBoots,QuiverDance Flamethrower MorningSun Psychic 
SupremeOverlord,HeavyDutyBoots,SwordsDance KowtowCleave IronHead SuckerPunch 
SpeedBoost,Leftovers,CalmMind StoredPower TeraBlast Roost 
Pressure,Leftovers,PowerTrip Roost BulkUp Agility 
EarthEater,SitrusBerry,IronHead BodyPress StealthRock ShedTail 
Torrent,FocusSash,Taunt Spikes Surf ToxicSpikes 
MagicBounce,Leftovers,CalmMind DrainingKiss MysticalFire StoredPower 
GoodasGold,LightClay,MakeItRain LightScreen Reflect Memento 
SupremeOverlord,BlackGlasses,SwordsDance KowtowCleave TeraBlast SuckerPunch 
RoughSkin,RockyHelmet,DragonTail Earthquake StealthRock Spikes 
GoodasGold,CovertCloak,NastyPlot Recover ShadowBall MakeItRain 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake FirePunch 
Intimidate,Leftovers,RagingBull BodyPress WillOWisp Protect 
QuarkDrive,ChoiceScarf,CloseCombat Moonblast ShadowBall Trick 
SupremeOverlord,Leftovers,KowtowCleave SuckerPunch IronHead SwordsDance 
QuarkDrive,BoosterEnergy,StealthRock RapidSpin IronHead Earthquake 
Protean,ChoiceBand,Uturn KnockOff FlowerTrick ThunderPunch 
Multiscale,LumBerry,Roost DragonDance ExtremeSpeed Earthquake 
MagicBounce,Leftovers,DrainingKiss Psychic CalmMind MysticalFire 
ToxicDebris,FocusSash,PowerGem EnergyBall EarthPower SludgeWave 
Protean,ChoiceScarf,IceBeam RockSlide GunkShot GrassKnot 
Protosynthesis,ExpertBelt,HeadlongRush CloseCombat KnockOff RapidSpin 
HugePower,AssaultVest,AquaJet PlayRough Liquidation IceSpinner 
VesselofRuin,Leftovers,StealthRock Spikes Ruination Earthquake 
GoodasGold,CovertCloak,ShadowBall MakeItRain NastyPlot Recover 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake Roost 
Protosynthesis,BoosterEnergy,StealthRock HeadlongRush KnockOff RapidSpin 
Technician,ChoiceBand,BulletSeed MachPunch CloseCombat RockTomb 
GoodasGold,ChoiceScarf,Trick ShadowBall MakeItRain NastyPlot 
SupremeOverlord,LumBerry,SwordsDance SuckerPunch KowtowCleave IronHead 
HugePower,SitrusBerry,BellyDrum AquaJet PlayRough Liquidation 
FlameBody,HeavyDutyBoots,QuiverDance WillOWisp Flamethrower MorningSun 
Drizzle,DampRock,Hurricane KnockOff Uturn Roost 
BattleBond,ChoiceSpecs,HydroPump DarkPulse IceBeam GrassKnot 
GoodasGold,ChoiceScarf,Trick MakeItRain ShadowBall FocusBlast 
PurifyingSalt,Leftovers,StealthRock SaltCure Protect Recover 
Regenerator,Leftovers,ChillingWater Recover Toxic Haze 
Infiltrator,ChoiceBand,DragonDarts PhantomForce SuckerPunch Uturn 
ToxicDebris,FocusSash,Spikes EnergyBall EarthPower SludgeWave 
Levitate,Leftovers,StealthRock Taunt DarkPulse DracoMeteor 
Protosynthesis,HeavyDutyBoots,RapidSpin KnockOff CloseCombat HeadlongRush 
FlashFire,HeavyDutyBoots,BulkUp Taunt ShadowSneak BitterBlade 
GoodasGold,CovertCloak,NastyPlot Recover ShadowBall MakeItRain 
QuarkDrive,ChoiceScarf,Trick KnockOff Moonblast CloseCombat 
Protean,ChoiceSpecs,HydroPump DarkPulse IceBeam Spikes 
GoodasGold,ChoiceScarf,NastyPlot MakeItRain ShadowBall Trick 
Protosynthesis,Leftovers,Earthquake BodyPress KnockOff RapidSpin 
PurifyingSalt,Leftovers,StealthRock SaltCure Recover Protect 
SupremeOverlord,HeavyDutyBoots,SwordsDance KowtowCleave IronHead SuckerPunch 
