pkmn,ability,item,team,moves
Drifblim,Unburden,LansatBerry,Clodsire Avalugg ScreamTail Drowzee Vespiquen ,CalmMind StrengthSap StoredPower Thunderbolt 
IndeedeeF,PsychicSurge,ChestoBerry,Hawlucha ScreamTail Skeledirge Drowzee Drifblim ,Rest CalmMind StoredPower DazzlingGleam 
Hawlucha,MoldBreaker,PsychicSeed,IndeedeeF ScreamTail Skeledirge Drowzee Drifblim ,Roost Acrobatics BulkUp Defog 
ScreamTail,Protosynthesis,LightClay,IndeedeeF Hawlucha Skeledirge Drowzee Drifblim ,Wish Protect LightScreen Reflect 
Skeledirge,Unaware,PsychicSeed,IndeedeeF Hawlucha ScreamTail Drowzee Drifblim ,SlackOff WillOWisp TorchSong Hex 
Drowzee,InnerFocus,Eviolite,IndeedeeF Hawlucha ScreamTail Skeledirge Drifblim ,CalmMind Encore StoredPower DrainingKiss 
Drifblim,Unburden,PsychicSeed,IndeedeeF Hawlucha ScreamTail Skeledirge Drowzee ,CalmMind StrengthSap StoredPower Thunderbolt 
ScreamTail,Protosynthesis,LightClay,Drowzee Clodsire Arboliva Polteageist Cinderace ,Wish Encore Reflect LightScreen 
Drowzee,InnerFocus,Eviolite,ScreamTail Clodsire Arboliva Polteageist Cinderace ,CalmMind TrickRoom DrainingKiss StoredPower 
Clodsire,Unaware,GrassySeed,ScreamTail Drowzee Arboliva Polteageist Cinderace ,Recover Curse BodyPress Earthquake 
Arboliva,SeedSower,TerrainExtender,ScreamTail Drowzee Clodsire Polteageist Cinderace ,Encore LeechSeed GigaDrain DazzlingGleam 
Polteageist,CursedBody,ChoiceScarf,ScreamTail Drowzee Clodsire Arboliva Cinderace ,StrengthSap Curse WillOWisp Trick 
Cinderace,Blaze,GrassySeed,ScreamTail Drowzee Clodsire Arboliva Polteageist ,BulkUp Acrobatics FirePunch IronHead 
Avalugg,Sturdy,HeavyDutyBoots,Chansey Girafarig Indeedee Garganacl Skeledirge ,Recover RapidSpin BodyPress Avalanche 
Chansey,NaturalCure,Eviolite,Avalugg Girafarig Indeedee Garganacl Skeledirge ,SoftBoiled ThunderWave StealthRock SeismicToss 
Girafarig,EarlyBird,Eviolite,Avalugg Chansey Indeedee Garganacl Skeledirge ,Rest CalmMind StoredPower DazzlingGleam 
Indeedee,PsychicSurge,ChestoBerry,Avalugg Chansey Girafarig Garganacl Skeledirge ,Rest CalmMind StoredPower DazzlingGleam 
Garganacl,PurifyingSalt,PsychicSeed,Avalugg Chansey Girafarig Indeedee Skeledirge ,Recover Curse SaltCure BodyPress 
Skeledirge,Unaware,PsychicSeed,Avalugg Chansey Girafarig Indeedee Garganacl ,SlackOff WillOWisp EarthPower TorchSong 
Sliggoo,SapSipper,Eviolite,Orthworm Leafeon IndeedeeF Hattrem Dondozo ,LifeDew Curse TeraBlast RockSlide 
Orthworm,EarthEater,PsychicSeed,Sliggoo Leafeon IndeedeeF Hattrem Dondozo ,Rest Coil BodyPress IronHead 
Leafeon,LeafGuard,PsychicSeed,Sliggoo Orthworm IndeedeeF Hattrem Dondozo ,Wish Curse LeafBlade XScissor 
IndeedeeF,PsychicSurge,ChestoBerry,Sliggoo Orthworm Leafeon Hattrem Dondozo ,Rest CalmMind StoredPower DrainingKiss 
Hattrem,MagicBounce,Eviolite,Sliggoo Orthworm Leafeon IndeedeeF Dondozo ,Rest CalmMind StoredPower DrainingKiss 
Dondozo,Unaware,PsychicSeed,Sliggoo Orthworm Leafeon IndeedeeF Hattrem ,Rest Curse Waterfall BodyPress 
ScreamTail,Protosynthesis,LightClay,Glimmora Dondozo Leafeon IndeedeeF Chansey ,Wish Protect LightScreen Reflect 
Glimmora,Corrosion,PsychicSeed,ScreamTail Dondozo Leafeon IndeedeeF Chansey ,Rest IronDefense Toxic SpikyShield 
Dondozo,Unaware,PsychicSeed,ScreamTail Glimmora Leafeon IndeedeeF Chansey ,Rest Curse Waterfall BodyPress 
Leafeon,LeafGuard,PsychicSeed,ScreamTail Glimmora Dondozo IndeedeeF Chansey ,Wish Curse LeafBlade XScissor 
IndeedeeF,PsychicSurge,ChestoBerry,ScreamTail Glimmora Dondozo Leafeon Chansey ,Rest CalmMind StoredPower DrainingKiss 
Chansey,NaturalCure,Eviolite,ScreamTail Glimmora Dondozo Leafeon IndeedeeF ,SoftBoiled TeraBlast CalmMind Charm 
Polteageist,CursedBody,ElectricSeed,Pincurchin Toxapex Avalugg Haxorus Cinderace ,CalmMind StrengthSap StoredPower GigaDrain 
Pincurchin,ElectricSurge,TerrainExtender,Polteageist Toxapex Avalugg Haxorus Cinderace ,Recover Curse ZingZap Liquidation 
Toxapex,Regenerator,Leftovers,Polteageist Pincurchin Avalugg Haxorus Cinderace ,Recover Haze BanefulBunker ChillingWater 
Avalugg,OwnTempo,HeavyDutyBoots,Polteageist Pincurchin Toxapex Haxorus Cinderace ,Recover RapidSpin Avalanche BodyPress 
Haxorus,MoldBreaker,LumBerry,Polteageist Pincurchin Toxapex Avalugg Cinderace ,DragonDance DragonClaw Earthquake CloseCombat 
Cinderace,Libero,ElectricSeed,Polteageist Pincurchin Toxapex Avalugg Haxorus ,BulkUp PyroBall Acrobatics IronHead 
Crocalor,Unaware,Eviolite,IndeedeeF Avalugg Corviknight Sliggoo Dunsparce ,SlackOff Curse SeedBomb FireFang 
IndeedeeF,PsychicSurge,ChestoBerry,Crocalor Avalugg Corviknight Sliggoo Dunsparce ,Rest CalmMind StoredPower DazzlingGleam 
Avalugg,Sturdy,HeavyDutyBoots,Crocalor IndeedeeF Corviknight Sliggoo Dunsparce ,Recover Curse RapidSpin BodyPress 
Corviknight,Pressure,RockyHelmet,Crocalor IndeedeeF Avalugg Sliggoo Dunsparce ,Roost IronDefense Spite BodyPress 
Sliggoo,SapSipper,Eviolite,Crocalor IndeedeeF Avalugg Corviknight Dunsparce ,LifeDew Curse RockSlide Outrage 
Dunsparce,SereneGrace,Eviolite,Crocalor IndeedeeF Avalugg Corviknight Sliggoo ,Roost Coil StoredPower HyperDrill 
Crocalor,Unaware,Eviolite,Dolliv Torkoal Altaria Polteageist RoaringMoon ,SlackOff Curse FireFang StompingTantrum 
Dolliv,EarlyBird,Eviolite,Crocalor Torkoal Altaria Polteageist RoaringMoon ,Growth StrengthSap GigaDrain EarthPower 
Torkoal,Drought,HeatRock,Crocalor Dolliv Altaria Polteageist RoaringMoon ,StealthRock RapidSpin Rest LavaPlume 
Altaria,CloudNine,MirrorHerb,Crocalor Dolliv Torkoal Polteageist RoaringMoon ,Roost DragonDance CottonGuard Acrobatics 
Polteageist,CursedBody,MirrorHerb,Crocalor Dolliv Torkoal Altaria RoaringMoon ,CalmMind StrengthSap StoredPower GigaDrain 
RoaringMoon,Protosynthesis,SitrusBerry,Crocalor Dolliv Torkoal Altaria Polteageist ,Roost DragonDance Acrobatics Earthquake 
IronMoth,QuarkDrive,ChoiceSpecs,Hattrem Slaking IndeedeeF Clodsire Hawlucha ,SludgeWave Flamethrower FlashCannon DazzlingGleam 
Hattrem,MagicBounce,Eviolite,IronMoth Slaking IndeedeeF Clodsire Hawlucha ,CalmMind DrainingKiss GigaDrain StoredPower 
Slaking,Truant,PsychicSeed,IronMoth Hattrem IndeedeeF Clodsire Hawlucha ,Rest BulkUp DrainPunch IcePunch 
IndeedeeF,PsychicSurge,TerrainExtender,IronMoth Hattrem Slaking Clodsire Hawlucha ,Rest CalmMind StoredPower DrainingKiss 
Clodsire,Unaware,PsychicSeed,IronMoth Hattrem Slaking IndeedeeF Hawlucha ,Recover Curse PoisonJab Liquidation 
Hawlucha,MoldBreaker,PsychicSeed,IronMoth Hattrem Slaking IndeedeeF Clodsire ,Roost Defog BulkUp Acrobatics 
Blissey,NaturalCure,ElectricSeed,Avalugg Clodsire Pincurchin IronValiant Toxapex ,SoftBoiled CalmMind StoredPower ChillingWater 
Avalugg,Sturdy,HeavyDutyBoots,Blissey Clodsire Pincurchin IronValiant Toxapex ,Recover RapidSpin Earthquake BodyPress 
Clodsire,Unaware,ElectricSeed,Blissey Avalugg Pincurchin IronValiant Toxapex ,Recover Curse IronHead BodyPress 
Pincurchin,ElectricSurge,ElectricSeed,Blissey Avalugg Clodsire IronValiant Toxapex ,Recover Curse Liquidation ZingZap 
IronValiant,QuarkDrive,BoosterEnergy,Blissey Avalugg Clodsire Pincurchin Toxapex ,Rest CalmMind StoredPower Moonblast 
Toxapex,Regenerator,BlackSludge,Blissey Avalugg Clodsire Pincurchin IronValiant ,Recover BanefulBunker Haze ChillingWater 
Pelipper,Drizzle,DampRock,Dondozo IndeedeeF Goodra Quaquaval Slaking ,Roost KnockOff ChillingWater Uturn 
Dondozo,Unaware,PsychicSeed,Pelipper IndeedeeF Goodra Quaquaval Slaking ,Rest Curse Waterfall BodyPress 
IndeedeeF,PsychicSurge,LightClay,Pelipper Dondozo Goodra Quaquaval Slaking ,Rest PsychicTerrain Reflect LightScreen 
Goodra,Hydration,PsychicSeed,Pelipper Dondozo IndeedeeF Quaquaval Slaking ,Rest Curse AquaTail BodyPress 
Quaquaval,Moxie,PsychicSeed,Pelipper Dondozo IndeedeeF Goodra Slaking ,Roost BulkUp RapidSpin AquaStep 
Slaking,Truant,PsychicSeed,Pelipper Dondozo IndeedeeF Goodra Quaquaval ,Rest Curse DrainPunch Thief 
IndeedeeF,PsychicSurge,LightClay,Dondozo Glimmora Cinderace Hawlucha Shellder ,LightScreen Reflect PsychicTerrain Rest 
Dondozo,Unaware,PsychicSeed,IndeedeeF Glimmora Cinderace Hawlucha Shellder ,Rest Curse WaveCrash BodyPress 
Glimmora,Corrosion,PsychicSeed,IndeedeeF Dondozo Cinderace Hawlucha Shellder ,Rest SpikyShield Toxic AcidArmor 
Cinderace,Blaze,PsychicSeed,IndeedeeF Dondozo Glimmora Hawlucha Shellder ,CourtChange Rest BulkUp Acrobatics 
Hawlucha,MoldBreaker,PsychicSeed,IndeedeeF Dondozo Glimmora Cinderace Shellder ,Roost BulkUp Trailblaze Acrobatics 
Shellder,ShellArmor,Eviolite,IndeedeeF Dondozo Glimmora Cinderace Hawlucha ,AquaRing IronDefense Whirlpool LifeDew 
Torkoal,Drought,HeatRock,Skeledirge ChiYu Arboliva Oricorio Dragonair ,Rest Amnesia FlareBlitz Curse 
Skeledirge,Unaware,Leftovers,Torkoal ChiYu Arboliva Oricorio Dragonair ,SlackOff Curse Earthquake FlameCharge 
ChiYu,BeadsofRuin,ChoiceSpecs,Torkoal Skeledirge Arboliva Oricorio Dragonair ,Overheat DarkPulse Psychic TeraBlast 
Arboliva,SeedSower,Leftovers,Torkoal Skeledirge ChiYu Oricorio Dragonair ,Encore StrengthSap GigaDrain DazzlingGleam 
Oricorio,Dancer,HeavyDutyBoots,Torkoal Skeledirge ChiYu Arboliva Dragonair ,Roost QuiverDance RevelationDance AirSlash 
Dragonair,ShedSkin,Eviolite,Torkoal Skeledirge ChiYu Arboliva Oricorio ,Rest DragonDance ExtremeSpeed AquaTail 
Dondozo,Unaware,PsychicSeed,IndeedeeF Pupitar Clodsire Dachsbun Sandaconda ,Rest Curse BodyPress Liquidation 
IndeedeeF,PsychicSurge,LightClay,Dondozo Pupitar Clodsire Dachsbun Sandaconda ,Rest PsychicTerrain LightScreen Reflect 
Pupitar,ShedSkin,Eviolite,Dondozo IndeedeeF Clodsire Dachsbun Sandaconda ,Rest Curse SmackDown Earthquake 
Clodsire,Unaware,BlackSludge,Dondozo IndeedeeF Pupitar Dachsbun Sandaconda ,Recover Curse PoisonJab Waterfall 
Dachsbun,WellBakedBody,PsychicSeed,Dondozo IndeedeeF Pupitar Clodsire Sandaconda ,Wish Protect WorkUp PlayRough 
Sandaconda,ShedSkin,PsychicSeed,Dondozo IndeedeeF Pupitar Clodsire Dachsbun ,Rest Coil DrillRun BodyPress 
Hawlucha,MoldBreaker,PsychicSeed,Clodsire IndeedeeF Vaporeon Grafaiai Goodra ,Roost Defog BulkUp Acrobatics 
Clodsire,Unaware,Leftovers,Hawlucha IndeedeeF Vaporeon Grafaiai Goodra ,Recover Curse PoisonJab Earthquake 
IndeedeeF,PsychicSurge,LightClay,Hawlucha Clodsire Vaporeon Grafaiai Goodra ,LightScreen Reflect PsychicTerrain Rest 
Vaporeon,WaterAbsorb,Leftovers,Hawlucha Clodsire IndeedeeF Grafaiai Goodra ,Wish MuddyWater CalmMind StoredPower 
Grafaiai,Unburden,PsychicSeed,Hawlucha Clodsire IndeedeeF Vaporeon Goodra ,SwordsDance Acrobatics KnockOff Rest 
Goodra,SapSipper,PsychicSeed,Hawlucha Clodsire IndeedeeF Vaporeon Grafaiai ,Rest Curse DragonTail BodyPress 
Toedscruel,MyceliumMight,HeavyDutyBoots,Clodsire Glimmora IndeedeeF Drifloon Bisharp ,Rest RapidSpin LeechSeed Toxic 
Clodsire,Unaware,PsychicSeed,Toedscruel Glimmora IndeedeeF Drifloon Bisharp ,Recover Curse PoisonJab Earthquake 
Glimmora,Corrosion,PsychicSeed,Toedscruel Clodsire IndeedeeF Drifloon Bisharp ,Rest SpikyShield Toxic AcidArmor 
IndeedeeF,PsychicSurge,LightClay,Toedscruel Clodsire Glimmora Drifloon Bisharp ,LightScreen Reflect PsychicTerrain Rest 
Drifloon,FlareBoost,Eviolite,Toedscruel Clodsire Glimmora IndeedeeF Bisharp ,Rest CalmMind StoredPower ShadowBall 
Bisharp,Pressure,Eviolite,Toedscruel Clodsire Glimmora IndeedeeF Drifloon ,Rest IronDefense LowKick IronHead 
Corviknight,Pressure,RockyHelmet,Vespiquen Eelektross Bronzong IndeedeeF Clodsire ,Roost Defog BulkUp PowerTrip 
Vespiquen,Pressure,HeavyDutyBoots,Corviknight Eelektross Bronzong IndeedeeF Clodsire ,Roost DefendOrder Toxic StruggleBug 
Eelektross,Levitate,PsychicSeed,Corviknight Vespiquen Bronzong IndeedeeF Clodsire ,Coil Acrobatics DrainPunch StompingTantrum 
Bronzong,Levitate,PsychicSeed,Corviknight Vespiquen Eelektross IndeedeeF Clodsire ,Rest IronDefense ChargeBeam StoredPower 
IndeedeeF,PsychicSurge,LightClay,Corviknight Vespiquen Eelektross Bronzong Clodsire ,Rest LightScreen Reflect PsychicTerrain 
Clodsire,Unaware,PsychicSeed,Corviknight Vespiquen Eelektross Bronzong IndeedeeF ,Recover Curse Earthquake BodyPress 
Clodsire,Unaware,PsychicSeed,Vespiquen Hawlucha IndeedeeF Corviknight Vaporeon ,Recover Curse Earthquake PoisonJab 
Vespiquen,Pressure,Leftovers,Clodsire Hawlucha IndeedeeF Corviknight Vaporeon ,Roost DefendOrder Toxic StruggleBug 
Hawlucha,MoldBreaker,PsychicSeed,Clodsire Vespiquen IndeedeeF Corviknight Vaporeon ,Roost Defog BulkUp Acrobatics 
IndeedeeF,PsychicSurge,LightClay,Clodsire Vespiquen Hawlucha Corviknight Vaporeon ,Reflect LightScreen Rest PsychicTerrain 
Corviknight,Pressure,PsychicSeed,Clodsire Vespiquen Hawlucha IndeedeeF Vaporeon ,Roost BulkUp Agility PowerTrip 
Vaporeon,WaterAbsorb,PsychicSeed,Clodsire Vespiquen Hawlucha IndeedeeF Corviknight ,Wish Curse Waterfall Trailblaze 
Azumarill,SapSipper,PsychicSeed,IndeedeeF Clodsire Gallade Cacturne Ceruledge ,AquaRing ChillingWater DrainingKiss MudSlap 
IndeedeeF,PsychicSurge,ChestoBerry,Azumarill Clodsire Gallade Cacturne Ceruledge ,Rest CalmMind StoredPower DrainingKiss 
Clodsire,Unaware,PsychicSeed,Azumarill IndeedeeF Gallade Cacturne Ceruledge ,Recover Curse BodyPress Earthquake 
Gallade,Sharpness,ChestoBerry,Azumarill IndeedeeF Clodsire Cacturne Ceruledge ,Rest BulkUp PsychoCut SacredSword 
Cacturne,WaterAbsorb,PsychicSeed,Azumarill IndeedeeF Clodsire Gallade Ceruledge ,GigaDrain DrainPunch Ingrain Growth 
Ceruledge,FlashFire,PsychicSeed,Azumarill IndeedeeF Clodsire Gallade Cacturne ,BulkUp BitterBlade ShadowClaw WillOWisp 
Toxapex,Regenerator,BlackSludge,Clodsire OricorioPomPom Pincurchin Haxorus Avalugg ,Recover Haze BanefulBunker ChillingWater 
Clodsire,Unaware,ElectricSeed,Toxapex OricorioPomPom Pincurchin Haxorus Avalugg ,Recover Curse PoisonJab Earthquake 
OricorioPomPom,Dancer,ElectricSeed,Toxapex Clodsire Pincurchin Haxorus Avalugg ,Roost QuiverDance AirSlash RevelationDance 
Pincurchin,ElectricSurge,TerrainExtender,Toxapex Clodsire OricorioPomPom Haxorus Avalugg ,Recover ZingZap Curse PoisonJab 
Haxorus,MoldBreaker,LumBerry,Toxapex Clodsire OricorioPomPom Pincurchin Avalugg ,DragonDance Earthquake DragonClaw CloseCombat 
Avalugg,OwnTempo,HeavyDutyBoots,Toxapex Clodsire OricorioPomPom Pincurchin Haxorus ,RapidSpin Recover Avalanche BodyPress 
ChiYu,BeadsofRuin,ChoiceSpecs,Torkoal RoaringMoon Scovillain IronThorns Volcarona ,Overheat DarkPulse Hex Psychic 
Torkoal,Drought,HeatRock,ChiYu RoaringMoon Scovillain IronThorns Volcarona ,StealthRock RapidSpin Rest LavaPlume 
RoaringMoon,Protosynthesis,BoosterEnergy,ChiYu Torkoal Scovillain IronThorns Volcarona ,DragonDance Acrobatics Crunch DragonClaw 
Scovillain,Chlorophyll,ChoiceSpecs,ChiYu Torkoal RoaringMoon IronThorns Volcarona ,Flamethrower EnergyBall GigaDrain SolarBeam 
IronThorns,QuarkDrive,BoosterEnergy,ChiYu Torkoal RoaringMoon Scovillain Volcarona ,DragonDance FirePunch IcePunch RockSlide 
Volcarona,FlameBody,HeavyDutyBoots,ChiYu Torkoal RoaringMoon Scovillain IronThorns ,MorningSun FieryDance QuiverDance GigaDrain 
Dondozo,Unaware,RockyHelmet,Blissey Frosmoth Corviknight Clodsire Lokix ,Rest Curse Liquidation BodyPress 
Blissey,NaturalCure,Leftovers,Dondozo Frosmoth Corviknight Clodsire Lokix ,SoftBoiled CalmMind Thunderbolt StoredPower 
Frosmoth,IceScales,HeavyDutyBoots,Dondozo Blissey Corviknight Clodsire Lokix ,QuiverDance GigaDrain IceBeam TeraBlast 
Corviknight,Pressure,LightClay,Dondozo Blissey Frosmoth Clodsire Lokix ,Roost Defog LightScreen Reflect 
Clodsire,Unaware,Leftovers,Dondozo Blissey Frosmoth Corviknight Lokix ,Recover Curse Earthquake PoisonJab 
Lokix,TintedLens,ChoiceBand,Dondozo Blissey Frosmoth Corviknight Clodsire ,FirstImpression AxeKick SuckerPunch Uturn 
Avalugg,IceBody,HeavyDutyBoots,Blissey Dondozo Annihilape ChiYu Lokix ,Recover RapidSpin AuroraVeil Avalanche 
Blissey,NaturalCure,LightClay,Avalugg Dondozo Annihilape ChiYu Lokix ,SoftBoiled LightScreen ThunderWave SeismicToss 
Dondozo,Unaware,RockyHelmet,Avalugg Blissey Annihilape ChiYu Lokix ,Liquidation Rest Curse SleepTalk 
Annihilape,Defiant,ChestoBerry,Avalugg Blissey Dondozo ChiYu Lokix ,BulkUp Rest DrainPunch RageFist 
ChiYu,BeadsofRuin,ChoiceSpecs,Avalugg Blissey Dondozo Annihilape Lokix ,Overheat DarkPulse Psychic TeraBlast 
Lokix,TintedLens,ChoiceBand,Avalugg Blissey Dondozo Annihilape ChiYu ,AxeKick FirstImpression SuckerPunch Uturn 
Arcanine,Intimidate,HeavyDutyBoots,ScreamTail Ditto Garganacl Avalugg Dondozo ,WillOWisp MorningSun Overheat ExtremeSpeed 
ScreamTail,Protosynthesis,BoosterEnergy,Arcanine Ditto Garganacl Avalugg Dondozo ,CalmMind Wish StoredPower Flamethrower 
Ditto,Imposter,ChoiceScarf,Arcanine ScreamTail Garganacl Avalugg Dondozo ,Transform None None None 
Garganacl,PurifyingSalt,HeavyDutyBoots,Arcanine ScreamTail Ditto Avalugg Dondozo ,Recover Curse BodyPress SaltCure 
Avalugg,OwnTempo,HeavyDutyBoots,Arcanine ScreamTail Ditto Garganacl Dondozo ,RapidSpin Recover Avalanche Earthquake 
Dondozo,Unaware,ChestoBerry,Arcanine ScreamTail Ditto Garganacl Avalugg ,Curse Rest Earthquake Waterfall 
Dondozo,Unaware,ChestoBerry,Corviknight ScreamTail Ditto Chansey Bellibolt ,Curse Rest Earthquake Waterfall 
Corviknight,Pressure,Leftovers,Dondozo ScreamTail Ditto Chansey Bellibolt ,Roost Defog Uturn BodyPress 
ScreamTail,Protosynthesis,BoosterEnergy,Dondozo Corviknight Ditto Chansey Bellibolt ,BulkUp Wish StoredPower DrainPunch 
Ditto,Imposter,ChoiceScarf,Dondozo Corviknight ScreamTail Chansey Bellibolt ,Transform None None None 
Chansey,NaturalCure,Eviolite,Dondozo Corviknight ScreamTail Ditto Bellibolt ,ThunderWave SoftBoiled HealBell SeismicToss 
Bellibolt,Electromorphosis,Leftovers,Dondozo Corviknight ScreamTail Ditto Chansey ,ParabolicCharge VoltSwitch SlackOff Soak 
ScreamTail,Protosynthesis,BoosterEnergy,Blissey Dunsparce Dondozo Avalugg Ditto ,BulkUp Wish DrainPunch PlayRough 
Blissey,NaturalCure,HeavyDutyBoots,ScreamTail Dunsparce Dondozo Avalugg Ditto ,SoftBoiled HealBell StealthRock SeismicToss 
Dunsparce,SereneGrace,Eviolite,ScreamTail Blissey Dondozo Avalugg Ditto ,CalmMind AncientPower Roost StoredPower 
Dondozo,Unaware,ChestoBerry,ScreamTail Blissey Dunsparce Avalugg Ditto ,Curse Rest Earthquake Liquidation 
Avalugg,OwnTempo,HeavyDutyBoots,ScreamTail Blissey Dunsparce Dondozo Ditto ,Recover RapidSpin Earthquake Avalanche 
Ditto,Imposter,ChoiceScarf,ScreamTail Blissey Dunsparce Dondozo Avalugg ,Transform None None None 
Girafarig,EarlyBird,Eviolite,Blissey Avalugg ScreamTail Dondozo Ditto ,Rest CalmMind StoredPower TeraBlast 
Blissey,NaturalCure,HeavyDutyBoots,Girafarig Avalugg ScreamTail Dondozo Ditto ,StealthRock SoftBoiled SeismicToss HealBell 
Avalugg,OwnTempo,HeavyDutyBoots,Girafarig Blissey ScreamTail Dondozo Ditto ,Recover RapidSpin Earthquake Avalanche 
ScreamTail,Protosynthesis,BoosterEnergy,Girafarig Blissey Avalugg Dondozo Ditto ,CalmMind Wish StoredPower TeraBlast 
Dondozo,Unaware,ChestoBerry,Girafarig Blissey Avalugg ScreamTail Ditto ,Curse Rest Earthquake Liquidation 
Ditto,Imposter,ChoiceScarf,Girafarig Blissey Avalugg ScreamTail Dondozo ,Transform None None None 
Dondozo,Unaware,ChestoBerry,Chansey Corviknight Dunsparce Bisharp Clodsire ,Curse Rest Earthquake Liquidation 
Chansey,NaturalCure,Eviolite,Dondozo Corviknight Dunsparce Bisharp Clodsire ,ThunderWave SoftBoiled HealBell SeismicToss 
Corviknight,Pressure,Leftovers,Dondozo Chansey Dunsparce Bisharp Clodsire ,Roost Defog BodyPress Uturn 
Dunsparce,SereneGrace,Eviolite,Dondozo Chansey Corviknight Bisharp Clodsire ,CalmMind Roost AncientPower StoredPower 
Bisharp,Defiant,Eviolite,Dondozo Chansey Corviknight Dunsparce Clodsire ,ThunderWave IronHead Rest SleepTalk 
Clodsire,Unaware,Leftovers,Dondozo Chansey Corviknight Dunsparce Bisharp ,Recover Curse Earthquake PoisonJab 
ScreamTail,Protosynthesis,BoosterEnergy,Dunsparce Corviknight Blissey TingLu Dondozo ,Wish CalmMind StoredPower DazzlingGleam 
Dunsparce,SereneGrace,Eviolite,ScreamTail Corviknight Blissey TingLu Dondozo ,CalmMind Roost AncientPower StoredPower 
Corviknight,Pressure,Leftovers,ScreamTail Dunsparce Blissey TingLu Dondozo ,Roost Defog BodyPress Uturn 
Blissey,NaturalCure,HeavyDutyBoots,ScreamTail Dunsparce Corviknight TingLu Dondozo ,SoftBoiled LightScreen SeismicToss ThunderWave 
TingLu,VesselofRuin,Leftovers,ScreamTail Dunsparce Corviknight Blissey Dondozo ,Whirlwind Taunt ThroatChop Earthquake 
Dondozo,Unaware,ChestoBerry,ScreamTail Dunsparce Corviknight Blissey TingLu ,Rest Curse Liquidation Earthquake 
Hatterene,MagicBounce,Leftovers,Orthworm Dondozo Avalugg Azumarill Blissey ,CalmMind TrickRoom StoredPower DrainingKiss 
Orthworm,EarthEater,Leftovers,Hatterene Dondozo Avalugg Azumarill Blissey ,ShedTail BodyPress HeavySlam Rest 
Dondozo,Unaware,ChestoBerry,Hatterene Orthworm Avalugg Azumarill Blissey ,Rest Curse Liquidation BodyPress 
Avalugg,OwnTempo,HeavyDutyBoots,Hatterene Orthworm Dondozo Azumarill Blissey ,Recover RapidSpin Earthquake Avalanche 
Azumarill,HugePower,SitrusBerry,Hatterene Orthworm Dondozo Avalugg Blissey ,BellyDrum AquaJet IceSpinner BrickBreak 
Blissey,NaturalCure,HeavyDutyBoots,Hatterene Orthworm Dondozo Avalugg Azumarill ,SoftBoiled CalmMind StoredPower Flamethrower 
Dondozo,Unaware,ChestoBerry,Ditto Naclstack Corviknight Pawmot Hatterene ,Rest Curse Earthquake Liquidation 
Ditto,Imposter,ChoiceScarf,Dondozo Naclstack Corviknight Pawmot Hatterene ,Transform None None None 
Naclstack,PurifyingSalt,Eviolite,Dondozo Ditto Corviknight Pawmot Hatterene ,Curse Recover BodyPress SaltCure 
Corviknight,Pressure,Leftovers,Dondozo Ditto Naclstack Pawmot Hatterene ,Roost Defog Uturn BodyPress 
Pawmot,VoltAbsorb,LeppaBerry,Dondozo Ditto Naclstack Corviknight Hatterene ,RevivalBlessing SeedBomb DoubleShock MachPunch 
Hatterene,MagicBounce,ExpertBelt,Dondozo Ditto Naclstack Corviknight Pawmot ,CalmMind DrainingKiss GigaDrain StoredPower 
Dondozo,Unaware,RockyHelmet,Grimmsnarl Corviknight Ditto Arboliva Gholdengo ,Rest SleepTalk Liquidation Curse 
Grimmsnarl,Prankster,LightClay,Dondozo Corviknight Ditto Arboliva Gholdengo ,Reflect LightScreen PartingShot SpiritBreak 
Corviknight,Pressure,RockyHelmet,Dondozo Grimmsnarl Ditto Arboliva Gholdengo ,Roost Defog BodyPress Uturn 
Ditto,Imposter,ChoiceScarf,Dondozo Grimmsnarl Corviknight Arboliva Gholdengo ,Transform None None None 
Arboliva,SeedSower,TerrainExtender,Dondozo Grimmsnarl Corviknight Ditto Gholdengo ,LeechSeed Encore StrengthSap GigaDrain 
Gholdengo,GoodasGold,Leftovers,Dondozo Grimmsnarl Corviknight Ditto Arboliva ,Recover NastyPlot ShadowBall MakeItRain 
Dondozo,Unaware,ChestoBerry,Ditto Pelipper Corviknight ChiYu Blissey ,Rest Curse BodyPress Liquidation 
Ditto,Imposter,ChoiceScarf,Dondozo Pelipper Corviknight ChiYu Blissey ,Transform None None None 
Pelipper,Drizzle,DampRock,Dondozo Ditto Corviknight ChiYu Blissey ,Roost Uturn Hurricane HydroPump 
Corviknight,Pressure,LightClay,Dondozo Ditto Pelipper ChiYu Blissey ,Roost Defog LightScreen Reflect 
ChiYu,BeadsofRuin,ChoiceSpecs,Dondozo Ditto Pelipper Corviknight Blissey ,Flamethrower DarkPulse Psychic Hex 
Blissey,NaturalCure,HeavyDutyBoots,Dondozo Ditto Pelipper Corviknight ChiYu ,SoftBoiled CalmMind StoredPower TeraBlast 
WoChien,TabletsofRuin,BigRoot,Dondozo Corviknight Blissey Ditto ChienPao ,LeechSeed TeraBlast GigaDrain FoulPlay 
Dondozo,Unaware,Leftovers,WoChien Corviknight Blissey Ditto ChienPao ,Rest Curse Liquidation SleepTalk 
Corviknight,Pressure,LightClay,WoChien Dondozo Blissey Ditto ChienPao ,Roost Defog LightScreen Reflect 
